Date,Close
2002-10-01,88.52
2002-11-01,93.98
2002-12-02,88.23
2003-01-02,86.06
2003-02-03,84.90
2003-03-03,84.74
2003-04-01,91.91
2003-05-01,96.95
2003-06-02,97.63
2003-07-01,99.39
2003-08-01,101.44
2003-09-02,99.95
2003-10-01,105.30
2003-11-03,106.45
2003-12-01,111.28
2004-01-02,113.48
2004-02-02,115.02
2004-03-01,113.10
2004-04-01,110.96
2004-05-03,112.86
2004-06-01,114.53
2004-07-01,110.84
2004-08-02,111.11
2004-09-01,111.76
2004-10-01,113.20
2004-11-01,117.89
2004-12-01,120.87
2005-01-03,118.16
2005-02-01,120.63
2005-03-01,117.96
2005-04-01,115.75
2005-05-02,119.48
2005-06-01,119.18
2005-07-01,123.74
2005-08-01,122.58
2005-09-01,123.04
2005-10-03,120.13
2005-11-01,125.41
2005-12-01,124.51
2006-01-03,127.50
2006-02-01,128.23
2006-03-01,129.83
2006-04-03,131.47
2006-05-01,127.51
2006-06-01,127.28
2006-07-03,127.85
2006-08-01,130.64
2006-09-01,133.58
2006-10-02,137.79
2006-11-01,140.53
2006-12-01,141.62
2007-01-03,143.75
2007-02-01,140.93
2007-03-01,142.00
2007-04-02,148.29
2007-05-01,153.32
2007-06-01,150.43
2007-07-02,145.72
2007-08-01,147.59
2007-09-04,152.58
2007-10-01,154.65
2007-11-01,148.66
2007-12-03,146.21
2008-01-02,137.37
2008-02-01,133.82
2008-03-03,131.97
2008-04-01,138.26
2008-05-01,140.35
2008-06-02,127.98
2008-07-01,126.83
2008-08-01,128.79
2008-09-02,115.99
2008-10-01,96.83
2008-11-03,90.09
2008-12-01,90.24
2009-01-02,82.83
2009-02-02,73.93
2009-03-02,79.52
2009-04-01,87.42
2009-05-01,92.53
2009-06-01,91.95
2009-07-01,98.81
2009-08-03,102.46
2009-09-01,105.59
2009-10-01,103.56
2009-11-02,109.94
2009-12-01,111.44
2010-01-04,107.39
2010-02-01,110.74
2010-03-01,117.00
2010-04-01,118.81
2010-05-03,109.37
2010-06-01,103.22
2010-07-01,110.27
2010-08-02,105.31
2010-09-01,114.13
2010-10-01,118.49
2010-11-01,118.49
2010-12-01,125.75
2011-01-03,128.68
2011-02-01,133.15
2011-03-01,132.59
2011-04-01,136.43
2011-05-02,134.90
2011-06-01,131.97
2011-07-01,129.33
2011-08-01,122.22
2011-09-01,113.15
2011-10-03,125.50
2011-11-01,124.99
2011-12-01,125.50
2012-01-03,131.32
2012-02-01,137.02
2012-03-01,140.81
2012-04-02,139.87
2012-05-01,131.47
2012-06-01,136.10
2012-07-02,137.71
2012-08-01,141.16
2012-09-04,143.97
2012-10-01,141.35
2012-11-01,142.15
2012-12-03,142.41
2013-01-02,149.70
2013-02-01,151.61
2013-03-01,156.67
2013-04-01,159.68
2013-05-01,163.45
2013-06-03,160.42
2013-07-01,168.71
2013-08-01,163.65
2013-09-03,168.01
2013-10-01,175.79
2013-11-01,181.00
2013-12-02,184.69
2014-01-02,178.18
2014-02-03,186.29
2014-03-03,187.01
2014-04-01,188.31
2014-05-01,192.68
2014-06-02,195.72
2014-07-01,193.09
2014-08-01,200.71
2014-09-02,197.02
2014-10-01,201.66
2014-11-03,207.20
2014-12-01,205.54
2015-01-02,199.45
2015-02-02,210.66
2015-03-02,206.43
2015-04-01,208.46
2015-05-01,211.14
2015-06-01,205.85
2015-07-01,210.50
2015-08-03,197.67
2015-09-01,191.63
2015-10-01,207.93
2015-11-02,208.69
2015-12-01,203.87
2016-01-04,193.72
2016-02-01,193.56
2016-03-01,205.52
2016-04-01,206.33
2016-05-02,209.84
2016-06-01,209.48
2016-07-01,217.12
2016-08-01,217.38
2016-09-01,216.30
2016-10-03,212.55
2016-11-01,220.38
2016-12-01,223.53
2017-01-01,226.58
2017-01-01,227.53
2017-02-01,236.47
2017-03-01,235.74
2017-04-01,238.08
2017-05-01,241.44
2017-06-01,242.64
2017-06-20,244.66
